Section,Purpose,Snippet,Explanation
"64. Grid Cell Rebuilding (NEW)","Dynamically generates grid cell divs for current dimensions.","js this.clearContainer(this.gridContainer); for (var y = 0; y < height; y++) { var row = document.createElement(""div""); row.className = ""grid-row""; for (var x = 0; x < width; x++) { var cell = document.createElement(""div""); cell.className = ""grid-cell""; cell.style.width = cellSize + 'px'; cell.style.height = cellSize + 'px'; row.appendChild(cell); } this.gridContainer.appendChild(row); }","Clears existing grid cells and creates new divs matching current width×height. Each cell is sized precisely using calculated cellSize. Organized in rows for proper float layout."
"65. Dynamic CSS Injection (NEW)","Runtime generation of tile positioning and sizing styles.","js var styleId = 'dynamic-tile-styles'; var existingStyle = document.getElementById(styleId); if (existingStyle) { existingStyle.remove(); } var style = document.createElement('style'); style.id = styleId; var css = '.tile, .tile .tile-inner { width: ' + cellSize + 'px; ... }';","Creates or replaces a style element with calculated CSS rules. Removes old styles to prevent accumulation. Injects tile dimensions, font sizes, and position classes into document.head."
"66. Font Size Calculation (NEW)","Scales font sizes proportionally to cell dimensions.","js var fontSize = Math.floor(cellSize * 0.5); var smallFontSize = Math.floor(cellSize * 0.35); var tinyFontSize = Math.floor(cellSize * 0.25); css += '.tile .tile-inner { font-size: ' + fontSize + 'px; }'; css += '.tile.tile-128 .tile-inner, .tile.tile-256 .tile-inner, .tile.tile-512 .tile-inner { font-size: ' + smallFontSize + 'px; }';","Dynamically calculates font sizes as percentages of cell size: base 50%, medium (128-512) 35%, tiny (1024-2048) 25%, super (2048+) 30%. Ensures readability across all grid sizes."
"67. Position Class Generation (NEW)","Creates CSS transform rules for every grid coordinate.","js for (var x = 0; x < width; x++) { for (var y = 0; y < height; y++) { var translateX = x * (cellSize + gap); var translateY = y * (cellSize + gap); css += '.tile.tile-position-' + (x + 1) + '-' + (y + 1) + ' { transform: translate(' + translateX + 'px, ' + translateY + 'px); }'; } }","Generates position classes for every (x, y) coordinate in the grid. Calculates translate values based on cell size and gaps. Class names use 1-indexed coordinates (tile-position-1-1 through tile-position-W-H)."
"68. HTMLActuator Clear Container","Removes all child DOM elements.","js HTMLActuator.prototype.clearContainer = function(container) { while (container.firstChild) { container.removeChild(container.firstChild); } }","Efficiently clears the tile container by removing children one by one. Used before each render to prevent duplicate tile elements. Also used to clear grid-container before rebuilding."
"69. HTMLActuator Add Tile Method","Creates and positions a tile DOM element.","js HTMLActuator.prototype.addTile = function(tile, gridWidth, gridHeight) { var wrapper = document.createElement(""div""); var inner = document.createElement(""div""); var position = tile.previousPosition || { x: tile.x, y: tile.y }; var classes = [""tile"", ""tile-"" + tile.value, positionClass]; ... }","Constructs a two-div structure: wrapper for positioning/animation, inner for styling/number. Handles three states: new tiles (tile-new), moving tiles (previousPosition), and merged tiles (tile-merged with mergedFrom array)."
"70. HTMLActuator Apply Classes","Sets CSS class attribute from array.","js HTMLActuator.prototype.applyClasses = function(element, classes) { element.setAttribute(""class"", classes.join("" "")); }","Converts an array of class names into a space-separated string. Used instead of classList because the implementation needs to replace all classes at once during animations."
"71. HTMLActuator Position Class","Generates CSS class for tile positioning.","js HTMLActuator.prototype.positionClass = function(position) { position = this.normalizePosition(position); return ""tile-position-"" + position.x + ""-"" + position.y; }","Creates class names like ""tile-position-1-1"" through ""tile-position-W-H"". Normalizes from 0-indexed (internal) to 1-indexed (CSS) coordinates. Works for any grid dimensions."
"72. HTMLActuator Normalize Position","Converts 0-indexed to 1-indexed coordinates.","js HTMLActuator.prototype.normalizePosition = function(position) { return { x: position.x + 1, y: position.y + 1 }; }","Adjusts coordinates from internal representation (0 to width-1) to CSS class naming convention (1 to width). This allows more intuitive CSS class names."
"73. HTMLActuator Update Score","Renders current score with delta animation.","js HTMLActuator.prototype.updateScore = function(score) { this.clearContainer(this.scoreContainer); var difference = score - this.score; this.score = score; this.scoreContainer.textContent = this.score; if (difference > 0) { var addition = document.createElement(""div""); addition.classList.add(""score-addition""); addition.textContent = ""+"" + difference; this.scoreContainer.appendChild(addition); } }","Clears previous content, displays new score, and creates a floating ""+X"" indicator if the score increased. The animation is handled by CSS (move-up keyframes)."
"74. HTMLActuator Update Best Score","Displays the dimension-specific persistent high score.","js HTMLActuator.prototype.updateBestScore = function(bestScore) { this.bestContainer.textContent = bestScore; }","Simple text update to show the best score for current grid dimensions. Called every frame during gameplay, but only visually changes when a new high score is achieved for that dimension."
"75. HTMLActuator Update Undo Button (NEW)","Enables or disables undo button based on stack state.","js HTMLActuator.prototype.updateUndoButton = function(undoAvailable) { this.undoButton.disabled = !undoAvailable; }","Sets the disabled attribute on the undo button based on whether the undo stack has moves. When disabled, CSS styling (opacity: 0.5, cursor: not-allowed) provides visual feedback."
"76. HTMLActuator Message Method","Shows game-over or win overlay.","js HTMLActuator.prototype.message = function(won) { var type = won ? ""game-won"" : ""game-over""; var message = won ? ""You win!"" : ""Game over!""; this.messageContainer.classList.add(type); this.messageContainer.getElementsByTagName(""p"")[0].textContent = message; }","Adds the appropriate CSS class to trigger the fade-in animation and sets the message text. The game-won class enables the ""Keep playing"" button."
"77. HTMLActuator Clear Message","Hides the game-over/win overlay.","js HTMLActuator.prototype.clearMessage = function() { this.messageContainer.classList.remove(""game-won""); this.messageContainer.classList.remove(""game-over""); }","Removes both possible message states. Called when restarting the game or choosing to continue after winning (keep playing button)."
"78. KeyboardInputManager Constructor","Sets up input event handling with touch detection.","js function KeyboardInputManager() { this.events = {}; if (window.navigator.msPointerEnabled) { this.eventTouchstart = ""MSPointerDown""; ... } else { this.eventTouchstart = ""touchstart""; ... } this.listen(); }","Initializes the event emitter pattern and detects IE10's MSPointer events vs standard touch events. Immediately calls listen() to bind all input handlers."
"79. KeyboardInputManager On Method","Registers event listeners.","js KeyboardInputManager.prototype.on = function(event, callback) { if (!this.events[event]) { this.events[event] = []; } this.events[event].push(callback); }","Implements a simple pub-sub pattern. The GameManager subscribes to ""move"", ""restart"", ""keepPlaying"", and ""undo"" events during initialization."
"80. KeyboardInputManager Emit Method","Triggers registered event callbacks.","js KeyboardInputManager.prototype.emit = function(event, data) { var callbacks = this.events[event]; if (callbacks) { callbacks.forEach(function(callback) { callback(data); }); } }","Calls all registered callbacks for a given event name. Data parameter passes directional information (0-3) for move events or is unused for restart/keepPlaying/undo."
"81. KeyboardInputManager Listen Method (UPDATED)","Binds all input event handlers including undo shortcut.","js KeyboardInputManager.prototype.listen = function() { var map = { 38: 0, 39: 1, 40: 2, 37: 3, 75: 0, 76: 1, 74: 2, 72: 3, 87: 0, 68: 1, 83: 2, 65: 3 }; document.addEventListener(""keydown"", function(event) { ... }); this.bindButtonPress(""#undo-button"", this.undo); ... }","Maps keycodes to directions (0=up, 1=right, 2=down, 3=left), supports arrow keys, WASD, and Vim keys (HJKL). Now includes Ctrl/Cmd+Z detection for undo and binds undo button click event."
"82. Undo Keyboard Shortcut (NEW)","Detects Ctrl+Z or Cmd+Z for undo functionality.","js if ((event.ctrlKey || event.metaKey) && event.which === 90 && !event.shiftKey) { event.preventDefault(); self.emit(""undo""); }","Checks for Ctrl (Windows/Linux) or Cmd (macOS) key combined with Z key (keycode 90). Ensures Shift is not pressed to differentiate from redo. Prevents default browser behavior and emits undo event."
"83. Keyboard Input Key Mapping","Translates key codes to move directions.","js var map = { 38: 0, 39: 1, 40: 2, 37: 3, 75: 0, 76: 1, 74: 2, 72: 3, 87: 0, 68: 1, 83: 2, 65: 3 };","Arrow keys (37-40), Vim navigation (HJKL: 72,74,75,76), and WASD (65,68,83,87) all map to the same four directional values. This ensures accessibility across different user preferences."
"84. Keyboard Input Modifier Check","Prevents conflicts with browser shortcuts.","js var modifiers = event.altKey || event.ctrlKey || event.metaKey || event.shiftKey; if (!modifiers) { if (mapped !== undefined) { event.preventDefault(); self.emit(""move"", mapped); } }","Only processes game inputs when no modifier keys are pressed (except for undo which explicitly checks for Ctrl/Cmd). This prevents accidentally interfering with Ctrl+R (refresh), Cmd+W (close tab), etc."
"85. Touch Gesture Detection","Converts swipes to directional moves.","js var dx = touchEndClientX - touchStartClientX; var absDx = Math.abs(dx); var dy = touchEndClientY - touchStartClientY; var absDy = Math.abs(dy); if (Math.max(absDx, absDy) > 10) { self.emit(""move"", absDx > absDy ? (dx > 0 ? 1 : 3) : (dy > 0 ? 2 : 0)); }","Calculates horizontal and vertical deltas between touchstart and touchend. Requires 10px minimum movement to prevent accidental triggers. Emits move event based on dominant axis and direction."
"86. KeyboardInputManager Restart Method","Handles restart button clicks.","js KeyboardInputManager.prototype.restart = function(event) { event.preventDefault(); this.emit(""restart""); }","Prevents default anchor behavior and emits the restart event. Subscribed by GameManager to clear state and set up a new game."
"87. KeyboardInputManager Keep Playing","Allows continuing after winning.","js KeyboardInputManager.prototype.keepPlaying = function(event) { event.preventDefault(); this.emit(""keepPlaying""); }","Enables post-2048 gameplay when user clicks ""Keep going"" button. Emits keepPlaying event which sets the keepPlaying flag in GameManager."
"88. KeyboardInputManager Undo Method (NEW)","Handles undo button clicks and keyboard shortcut.","js KeyboardInputManager.prototype.undo = function(event) { event.preventDefault(); this.emit(""undo""); }","Prevents default behavior and emits the undo event. Triggered by either clicking the undo button or pressing Ctrl/Cmd+Z. GameManager subscribes to restore previous state."
"89. KeyboardInputManager Bind Button","Attaches click and touch handlers to buttons.","js KeyboardInputManager.prototype.bindButtonPress = function(selector, fn) { var button = document.querySelector(selector); button.addEventListener(""click"", fn.bind(this)); button.addEventListener(this.eventTouchend, fn.bind(this)); }","Binds both mouse clicks and touch events to ensure buttons work on all devices. Uses .bind(this) to preserve context when callbacks are invoked. Now used for restart, retry, keep-playing, and undo buttons."
"90. GameManager Constructor (UPDATED)","Initializes the core game controller with dimension-specific keys.","js function GameManager(width, height, InputManager, Actuator, StorageManager) { this.width = width; this.height = height; ... this.undoStack = []; this.bestScoreKey = 'bestScore_' + width + 'x' + height; this.gameStateKey = 'gameState_' + width + 'x' + height; this.inputManager.on(""undo"", this.undo.bind(this)); this.setup(); }","Creates instances of all manager classes and subscribes to input events including new undo event. Initializes empty undoStack array. Creates dimension-specific storage keys (e.g., bestScore_4x4, gameState_5x5)."
"91. GameManager Setup Method (UPDATED)","Initializes or restores game state with dimension validation.","js GameManager.prototype.setup = function() { var previousState = this.storageManager.getGameState(this.gameStateKey); if (previousState && previousState.grid && previousState.grid.width === this.width && previousState.grid.height === this.height) { this.grid = new Grid(previousState.grid.width, previousState.grid.height, previousState.grid.cells); ... } else { this.storageManager.clearGameState(this.gameStateKey); this.grid = new Grid(this.width, this.height); ... this.addStartTiles(); } this.actuate(); }","Checks for saved game state with strict dimension validation. Only restores if state exists AND dimensions match exactly. If dimensions mismatch, clears incompatible state and starts fresh game with 2 random tiles."
"92. GameManager Add Start Tiles","Spawns initial 2 or 4 tiles.","js GameManager.prototype.addStartTiles = function() { for (var i = 0; i < this.startTiles; i++) { this.addRandomTile(); } }","Loops startTiles times (2) to spawn the initial tiles. Each call to addRandomTile() has a 90/10 chance of creating a 2 or 4."
"93. GameManager Add Random Tile","Creates a new tile in an empty cell.","js GameManager.prototype.addRandomTile = function() { if (this.grid.cellsAvailable()) { var value = Math.random() < 0.9 ? 2 : 4; var tile = new Tile(this.grid.randomAvailableCell(), value); this.grid.insertTile(tile); } }","Only spawns if empty cells exist (prevents errors). 90% chance of value=2, 10% chance of value=4. Uses randomAvailableCell() to pick position, then inserts the new tile."
"94. GameManager Actuate Method (UPDATED)","Syncs state to dimension-specific storage and triggers render.","js GameManager.prototype.actuate = function() { var currentBest = this.storageManager.getBestScore(this.bestScoreKey); if (currentBest < this.score) { this.storageManager.setBestScore(this.score, this.bestScoreKey); } if (this.over) { this.storageManager.clearGameState(this.gameStateKey); } else { this.storageManager.setGameState(this.serialize(), this.gameStateKey); } this.actuator.actuate(this.grid, { ... undoAvailable: this.undoStack.length > 0 }); }","Updates dimension-specific best score if exceeded, saves/clears game state based on over flag using dimension-specific key. Passes undoAvailable flag (boolean) to actuator for button state management."
"95. GameManager Serialize Method","Converts game state to JSON-compatible object.","js GameManager.prototype.serialize = function() { return { grid: this.grid.serialize(), score: this.score, over: this.over, won: this.won, keepPlaying: this.keepPlaying }; }","Creates a plain object with grid (including width/height) and all game flags. Used by setGameState() to save to localStorage. The grid.serialize() call handles the nested tile serialization with dimensions."
"96. GameManager Save State Method (NEW)","Captures current game state into undo stack.","js GameManager.prototype.saveState = function() { this.undoStack.push({ grid: this.grid.serialize(), score: this.score, over: this.over, won: this.won }); if (this.undoStack.length > 50) { this.undoStack.shift(); } }","Serializes current game state (grid, score, game flags) and pushes to undo stack. Implements 50-move limit via FIFO pruning (shift removes oldest) to prevent unbounded memory growth."
"97. GameManager Undo Method (NEW)","Restores previous game state from undo stack.","js GameManager.prototype.undo = function() { if (this.undoStack.length === 0) return; var previousState = this.undoStack.pop(); this.grid = new Grid(previousState.grid.width, previousState.grid.height, previousState.grid.cells); this.score = previousState.score; this.over = previousState.over; this.won = previousState.won; this.actuate(); }","Returns early if stack is empty. Pops most recent state, deserializes grid creating new Grid instance with Tile objects. Restores score and game flags. Calls actuate to re-render with restored state."
"98. GameManager Prepare Tiles","Saves positions and clears merge flags.","js GameManager.prototype.prepareTiles = function() { this.grid.eachCell(function(x, y, tile) { if (tile) { tile.mergedFrom = null; tile.savePosition(); } }); }","Called before processing moves. Clears mergedFrom flags (prevents tiles from merging twice in one move) and saves current positions for animation."
"99. GameManager Move Tile Method","Relocates a tile in the grid.","js GameManager.prototype.moveTile = function(tile, cell) { this.grid.cells[tile.x][tile.y] = null; this.grid.cells[cell.x][cell.y] = tile; tile.updatePosition(cell); }","Clears the tile's old cell, assigns it to the new cell, and updates the tile's internal coordinates. Used when a tile slides without merging."
"100. GameManager Move Method (UPDATED)","Processes directional input and updates state with undo support.","js GameManager.prototype.move = function(direction) { var self = this; if (this.isGameTerminated()) return; var vector = this.getVector(direction); var traversals = this.buildTraversals(vector); var moved = false; this.saveState(); this.prepareTiles(); traversals.x.forEach(...); if (moved) { this.addRandomTile(); if (!this.movesAvailable()) { this.over = true; } this.actuate(); } else { this.undoStack.pop(); } }","Core game logic: saves state to undo stack BEFORE processing move, saves tile positions, traverses grid in direction order, moves/merges tiles, spawns new tile if anything moved. If no movement occurred, removes the saved state from undo stack."
"101. GameManager Get Vector Method","Converts direction to x/y offsets.","js GameManager.prototype.getVector = function(direction) { var map = { 0: { x: 0, y: -1 }, 1: { x: 1, y: 0 }, 2: { x: 0, y: 1 }, 3: { x: -1, y: 0 } }; return map[direction]; }","Maps directional constants to coordinate deltas. 0=up (y-1), 1=right (x+1), 2=down (y+1), 3=left (x-1). Used to calculate next cell positions during movement."
"102. GameManager Build Traversals (UPDATED)","Orders grid traversal based on direction and grid dimensions.","js GameManager.prototype.buildTraversals = function(vector) { var traversals = { x: [], y: [] }; for (var pos = 0; pos < this.width; pos++) { traversals.x.push(pos); } for (var pos = 0; pos < this.height; pos++) { traversals.y.push(pos); } if (vector.x === 1) traversals.x = traversals.x.reverse(); if (vector.y === 1) traversals.y = traversals.y.reverse(); return traversals; }","Creates arrays [0...width-1] for x and [0...height-1] for y. Reverses the order if moving right (x=1) or down (y=1). This ensures tiles are processed from the far edge toward the direction of movement."
"103. GameManager Find Farthest Position","Calculates how far a tile can slide.","js GameManager.prototype.findFarthestPosition = function(cell, vector) { var previous; do { previous = cell; cell = { x: previous.x + vector.x, y: previous.y + vector.y }; } while (this.grid.withinBounds(cell) && this.grid.cellAvailable(cell)); return { farthest: previous, next: cell }; }","Iteratively steps in the direction vector until hitting a boundary or occupied cell. Returns both the last valid position (farthest) and the blocking cell (next) for merge detection."
"104. GameManager Merge Logic","Combines two tiles of equal value.","js if (next && next.value === tile.value && !next.mergedFrom) { var merged = new Tile(positions.next, tile.value * 2); merged.mergedFrom = [tile, next]; self.grid.insertTile(merged); self.grid.removeTile(tile); tile.updatePosition(positions.next); self.score += merged.value; if (merged.value === 2048) self.won = true; }","Checks if the blocking cell contains a tile with the same value and hasn't merged yet. Creates a new tile with double value, marks it with source tiles for animation, removes originals, updates score, and checks for win condition (2048)."
"105. GameManager Moves Available","Determines if any valid moves exist.","js GameManager.prototype.movesAvailable = function() { return this.grid.cellsAvailable() || this.tileMatchesAvailable(); }","Returns true if there are empty cells OR if any adjacent tiles can merge. Used to detect game-over state (returns false when grid is full and no merges possible)."
"106. GameManager Tile Matches Available (UPDATED)","Checks for adjacent matching tiles in variable-dimension grid.","js GameManager.prototype.tileMatchesAvailable = function() { var self = this; var tile; for (var x = 0; x < this.width; x++) { for (var y = 0; y < this.height; y++) { tile = this.grid.cellContent({ x: x, y: y }); if (tile) { for (var direction = 0; direction < 4; direction++) { var vector = self.getVector(direction); var cell = { x: x + vector.x, y: y + vector.y }; var other = self.grid.cellContent(cell); if (other && other.value === tile.value) { return true; } } } } } return false; }","Iterates through every occupied cell (using this.width and this.height) and checks all four adjacent cells for matching values. Returns true immediately upon finding a match. Only called when grid is full."
"107. GameManager Positions Equal","Compares two coordinate objects.","js GameManager.prototype.positionsEqual = function(first, second) { return first.x === second.x && first.y === second.y; }","Simple equality check for position objects. Used to determine if a tile actually moved (if position hasn't changed, moved flag stays false and undo state is removed)."
"108. GameManager Restart Method (UPDATED)","Resets the game to initial state clearing undo stack.","js GameManager.prototype.restart = function() { this.storageManager.clearGameState(this.gameStateKey); this.actuator.continueGame(); this.undoStack = []; this.setup(); }","Deletes dimension-specific saved game, clears the win/loss overlay, empties the undo stack, and calls setup() to create a fresh game with 2 starting tiles."
"109. GameManager Keep Playing Method","Allows post-win gameplay.","js GameManager.prototype.keepPlaying = function() { this.keepPlaying = true; this.actuator.continueGame(); }","Sets the keepPlaying flag to true and hides the win message. This prevents isGameTerminated() from returning true, allowing continued play after reaching 2048."
"110. GameManager Is Game Terminated","Checks if gameplay should be blocked.","js GameManager.prototype.isGameTerminated = function() { return this.over || (this.won && !this.keepPlaying); }","Returns true if game is lost OR if won without choosing to continue. Used in move() to prevent input processing during game-over/win states."
"111. Init Game Function (NEW)","Controller for creating new game instances with dimension management.","js function initGame(width, height) { if (currentGame) { currentGame.inputManager.events = {}; } currentGame = new GameManager(width, height, KeyboardInputManager, HTMLActuator, LocalStorageManager); document.getElementById('current-grid-size').textContent = width + '×' + height; }","Cleans up previous game instance by clearing event listeners to prevent memory leaks. Creates new GameManager with specified dimensions. Updates grid size display indicator with dimension string (e.g., ""4×4"")."
"112. Preset Button Event Handlers (NEW)","Binds click handlers to preset grid size buttons.","js var presetButtons = document.querySelectorAll('.preset-btn'); presetButtons.forEach(function(btn) { btn.addEventListener('click', function() { var width = parseInt(this.getAttribute('data-width')); var height = parseInt(this.getAttribute('data-height')); presetButtons.forEach(function(b) { b.classList.remove('active'); }); this.classList.add('active'); document.getElementById('custom-width').value = width; document.getElementById('custom-height').value = height; initGame(width, height); }); });","Selects all preset buttons and attaches click listeners. Extracts dimensions from data attributes, updates active visual state (removes from all, adds to clicked), syncs custom input fields, and initializes new game with selected dimensions."
"113. Custom Grid Apply Handler (NEW)","Processes custom dimension input and validates range.","js document.getElementById('apply-custom').addEventListener('click', function() { var width = parseInt(document.getElementById('custom-width').value); var height = parseInt(document.getElementById('custom-height').value); width = Math.max(3, Math.min(10, width)); height = Math.max(3, Math.min(10, height)); document.getElementById('custom-width').value = width; document.getElementById('custom-height').value = height; presetButtons.forEach(function(b) { b.classList.remove('active'); }); initGame(width, height); });","Reads width and height from input fields as integers. Clamps values to 3-10 range using Math.max/min. Updates input fields with clamped values for visual feedback. Clears preset button active states. Initializes new game with custom dimensions."
"114. Game Initialization (UPDATED)","Starts the default 4×4 game on page load.","js window.requestAnimationFrame(function() { initGame(4, 4); });","Waits for next animation frame to ensure DOM is fully loaded, then creates the initial GameManager instance with 4×4 grid dimensions. This single line launches the entire game with default configuration."